"id","benefit_id","name","type","masterdata_table","use_masterdata","masterdata_table_key","masterdata_table_value","masterdata_table_condition","validation_rules","error_messages","options","order","use_prefilled_data","prefilled_data_type","prefilled_vault_data_key","prefilled_worker_data_table","prefilled_worker_data_key","use_masterdata_value","masterdata_value_table","masterdata_value_table_key","masterdata_value_table_value","is_required","is_readonly","is_hidden","is_disabled","is_dependent_field","dependent_field_id","dependent_field_value","status","created_at","updated_at","deleted_at"
"54","3","date_of_birth","date",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,True,1,"dob",NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-08 06:36:38","2025-07-08 06:36:38",NULL
"55","3","age","text",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-08 06:38:28","2025-07-08 06:38:28",NULL
"56","3","details_of_disease_accident","text",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-08 06:42:41","2025-07-08 06:42:41",NULL
"57","3","nature_of_disability_due_to_disease_or_accident","text",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-08 06:43:56","2025-07-08 06:43:56",NULL
"58","3","details_of_treatment_in_government_hospital","text",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-08 06:45:05","2025-07-08 06:45:05",NULL
"59","3","date_of_admission_in_the_government_hospital","date",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-08 06:45:59","2025-07-08 06:45:59",NULL
"60","3","date_of_discharge_from_the_government_hospital","date",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-08 06:49:16","2025-07-08 06:49:16",NULL
"61","3","whether_the_patient_was_in_plaster","select",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}","[""yes"","" no""]",0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-08 06:50:25","2025-07-08 06:50:25",NULL
"62","3","number_of_days_supported_by_medical_bills_countersigned_by_government_doctor","text",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,True,"61","yes",True,"2025-07-08 06:53:46","2025-07-08 06:53:46",NULL
"63","3","amount_spent_for_treatment","text",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-08 06:55:06","2025-07-08 06:55:06",NULL
"64","3","details_of_benefit_received_earlier_if_any","text",NULL,NULL,NULL,NULL,NULL,"{""required"":false}","{""required"":""This field is optional""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-08 06:57:23","2025-07-08 06:57:23",NULL
