"id", "name_of_pfc", "pfc_name", "postal_address", "pin_code", "nearby_landmark", "latitude", "longitude","district_code"
35,"Charaideo", "Sapekhati Dev Block", "Sapekhati Dev Block, P.O & P.S: Sapekhati, Dist: Charaideo, Assam","785692","Near Sapekhati Block Primary School","27.099854","95.159114","708"
36,"Charaideo", "Sub Registrar Office Charaideo Sonari", "Sub-Registrar Office, Charaideo, Sonari, Po & Ps: Sonari, Dist: Charaideo, Assam","785690","District Commissioner Office Compound","27.031677","95.008057","708"
37,"Charaideo", "West Abhoipur Dev Block","West Abhoipur Dev Block, Po: Suffry, Ps: Sonari, Dist: Charaideo","785689","Opposite Sonari-Mahmora Divisional Office (Irrigation)","27.003773","94.965181","708"
38,"Charaideo", "Lakwa Dev Block", "Lakwa Dev Block, P.O: Lakwa & P.S: Mathurapur, Dist: Charaideo","785698","Naharhabi T.E","26.96923","94.862997","708"
39,"Dhemaji", "Bordoloni Block Development Office", "Dewgharbari, Assam","787026","Near Bordoloni Outpost","27.41575746","94.4139289","284"
40,"Dhemaji", "Dhemaji Block Development Office", "Dhemaji Chariali, Hospital Road, Nh 52, Dhemaji, Assam","787057","Opposite DRDA Office","27.47037609","94.56023197","284"
41,"Dhemaji", "Murkongselek Tribal Development Office, Dhemaji", "No.1 Ratanpur Padi, Assam","787060","Near Jonai Bazar","27.81982152","95.2325645","284"
42,"Dhemaji", "Silapathar Science College", "Amritpur, Silapathar, Assam","787059","Silapathar College Road","27.60715104","94.73284259","284"
43,"Dhemaji", "District Rural Development Authority, Dhemaji", "Dhemaji Chariali, Hospital Road, Nh 52, Dhemaji, Assam","787057","Near Boruah Auto Traders, Hero Dhemaji","27.47175512","94.56133907","284"
44,"Dhemaji", "Sissiborgaon Block Development Office", "National Highway 52, Sissiborgaon, Dhemaji","787110","Bhebeli Road","27.5308104","94.68115094","284"
45,"Dhemaji", "Machkhowa Gaon Panchayat", "Borpak Gaon, Assam","787058","Machkhowa Chariali","27.32689638","94.54405573","284"
46,"Dhemaji", "Sissimukh Gaon Panchayat", "Jorkata Bangali, Sisi Bangali, Assam","787058","Near Sissimukh Model Hospital","27.33742339","94.60765664","284"
47,"Dhubri", "Office of the BDO, Agomoni Dev Block", "Vill: Shernagar, P.O: Agomani, P.S: Agomani, Dist: Dhubri (Assam)","783335","Near UCO Bank Agomani Branch","26.201743","89.783365","285"
48,"Dhubri", "Bilasipara Dev Block", "Vill: Sonaluguri, Po: Raniganj, Ps: Sapatgram, Dist: Dhubri (Assam)","783345","Near Raniganj HS School","26.3039718","90.1784098","285"
49,"Dhubri", "Chapar Salkocha Dev Block", "Vill: Arearjhar Pt-I, P.O: Chapar, P.S: Chapar","783371","Near 975 No Arearjhar Girls LP School","26.284581","90.4334712","285"
50,"Dhubri", "Office of the BDO, Debitola Dev Block", "Vill: Pakhihaga Pt-1, P.O: Debitola, P.S: Kazigaon, Dist: Dhubri","783339","Near Debitola High School","26.16502","90.00772","285"
51,"Dhubri", "Office of the BDO, Golokganj Dev Block", "Vill- South Tokrerchara Pt-IV, Po+Ps - Golakganj, Dist - Dhubri, Assam","783334","Near Circle Office","26.106698","89.83381","285"
52,"Dhubri", "Office of the BDO, Gauripur Dev Block", "Vill: Dharmasala Pt III, P.O: Dharmasala, Dist & Ps: Dhubri","783324","Near Haturhat Dharmasala Hs School","26.022786","89.887071","285"
53,"Dhubri", "Office of the BDO, Hatidhura Dev Block", "Vill-Oxiguri, Po-Srinagar, Ps-Tamarhat, Dist- Dhubri","783332","Near Hatidhura College","26.320825","89.853351","285"
54,"Dhubri", "Office of the BDO, Mahamaya Dev Block (Bagribari)", "Rajapara Pt-II, Po&Ps-Bagribari","783349","Near Mahamaya Busstand","26.02216","89.980724","285"
55,"Dhubri", "Office of the Bilasipara Municipal Board", "Bilasipara Ward No 14, Po&Ps- Bilasipara, Dist-Dhubri","783348","Near Bilasipara Police Station","26.224926","90.229889","285"
56,"Dhubri", "Office of the BDO, Rupshi Dev Block", "Vill Rupshi Part 1, Po Rupshi, Ps Kazigaon","783331","Shosan Kali Mandir","26.126465","89.91681","285"
57,"Dhubri", "Office of the Sr. Sub Registrar, Dhubri", "Dhubri Town Ward No.1, P.O and Dist Dhubri, Assam","783301","S. P English Medium School, Dhubri","26.02216","89.980724","285"
58,"Dhubri", "Office of the Sapatgram Municipal Board", "Sapatgram Town Ward No 3, Po & Ps - Sapatgram, Dist- Dhubri, Assam","783337","Near Kasari Field","26.3353373","90.1069608","285"
59,"Dhubri", "Office of the DTO, Dhubri", "DTO Office Dhubri, GTB Road, W/No-9, Po & Ps - Dhubri","783335","Near Smart Point","26.0245215","89.9821235","285"
60,"Dhubri", "Office of the Dhubri Municipal Board", "Dhubri Town Ward No.1, P.O and Dist Dhubri, Assam","783301","Near S.P Office, Dhubri","26.02216","89.980724","285"
61,"Dhubri", "Dhubri District Agriculture Office", "Ward No. 15, B.N College Road, P.O - Bidyapara, P.S & Dist- Dhubri","783324","Near B.N College Town Out Post","26.498423","93.960681","285"
62,"Dibrugarh", "Barbaruah Dev Block", "P.O: Barbaruah, Dist: Dibrugarh, Assam","786007","Near Barbaruah Veterinary Hospital","27.390028","94.874268","286"
63,"Dibrugarh", "Khowang Dev Block", "Khowang Dev Block, Tilok Nagar, Moran, Dist: Dibrugarh, Assam","785675","Near SBI, Tiloi Branch","27.223505","94.891528","286"
64,"Dibrugarh", "Tingkhong Dev Block", "Rajgarh, Dist: Dibrugarh, Assam","786611","Rajgarh Sub Divisional PWD Office","27.17323","95.115866","286"
65,"Dibrugarh", "Joypur Dev Block", "Vill: Naharani, P.O: Konwarigaon, Dist: Dibrugarh, Assam","786615","Near Naharani PHC","27.2572924","95.234683","286"
66,"Dibrugarh", "Lahoal Dev Block", "Lahoal, Patragaoan, P.O: Lahoal, Dist: Dibrugarh, Assam","780610","Near Lahoal PHC","27.460406","95.002356","286"
67,"Dibrugarh", "Tengakhat Dev Block", "Pandhua, P.O: Tengakhat, Dibrugarh, Assam","786103","Near Tengakhat Panchayat Office","27.366654","95.173779","286"
68,"Dibrugarh", "Dibrugarh MNB", "A.T. Road, Graham Bazar, Dibrugarh, Assam","786001","Near Joint Director Of Health Office","27.489063","94.912859","286"
69,"Dibrugarh", "Panitola Dev Block", "Panitola Dev Block, Vill: Balijan, P.O: Chabua, Dist: Dibrugarh, Assam","786184","Near 171 Battalion Chabua CRPF Camp","27.498156","95.18948","286"
70,"Dibrugarh", "Dibrugarh DTO", "A.T. Road, Phoolbagan, Dibrugarh, Assam","786001","Near Dibrugarh East Circle Office","27.486259","94.90787","286"
71,"Dibrugarh", "Naharkatia Municipal Board", "Naharkatia, Dibrugarh, Assam","786610","Near Naharkatia Circle Office","27.2834282","95.328976","286"
72,"Goalpara", "Balijana Development Block", "Balijana Development Block","783120","Agia Dorapara Road, Near Sankardev School, Agia","26.08728","90.558279","287"
73,"Goalpara", "Jaleshwar Development Block", "Jaleswar Development Block, Katarihara, Po- Katarihara, Dist- Goalpara, Assam","783132","Jaleswar College, Tapoban","26.042817","90.208907","287"
74,"Goalpara", "Kharmuja Development Block", "Kharmuja Development Block","783101","Near Kharmuja Bazar","26.142676","90.484737","287"
75,"Goalpara", "Krishnai Development Block", "Krishnai Development Block, Paikan","783126","Paikan Tinali, Tura Road","26.039018","90.645228","287"
76,"Goalpara", "Kushdhowa Development Block", "Kushdhowa T.D. Block","783124","Deulguri Part-I, Goalpara, Assam","26.008239","90.851216","287"
77,"Goalpara", "Lakhipur Development Block", "Lakhipur Development Block, Vill: Nidanpur Pt-II, Po+Ps: Lakhipur, Dist: Goalpara, Assam","783129","Near Forest Office, Lakhipur","26.02108","90.307468","287"
78,"Goalpara", "Matia Development Block", "Matia Development Block","783125","Matia Revenue Circle","26.076276","90.78703","287"
79,"Goalpara", "DRDA Goalpara", "DRDA, Goalpara","783101","Near Post Office, Goalpara","26.14503646","90.61518896","287"
80,"Goalpara", "Lakhipur Sub Registrar Office", "Lakhipur Sr. Office, Vill/Town- Lakhipur Town, Po+Ps- Lakhipur, Dist- Goalpara","783129","Near SBI Lakhipur","26.034639","90.306798","287"
81,"Goalpara", "Goalpara Municipal Board", "Goalpara Municipality Board, Kachari Ghat, Dist, Po & Ps - Goalpara, Assam","783101","Near Goalpara Sub Registrar","26.18435","90.633147","287"
82,"Goalpara", "SDAO Dudhnoi", "Sub Divisional Agriculture Office, Vill: Udaypur, Po: Dudhnoi","783124","Near Fire Office / Ayurveda Hospital, Dudhnoi","25.96588","90.78507","287"
83,"Golaghat", "Golaghat Central Development Block, Kothalguri", "Burali Kson Gaon, Po- Kathalguri","785622","Near Mini PHC, Buralikson Gaon, Kathalguri","26.601297","93.927215","288"
84,"Golaghat", "Golaghat South Development Block, Sarupathar", "Golaghat South Dev. Block, Padumoni, Sarupathar","785601","Padumoni Tiniali, Sarupathar","26.208783","93.863287","288"
85,"Golaghat", "Golaghat East Development Block, Podumoni", "Narayanpur, Po- Narayanpur, Narayanpur Grant","785702","Near PHC, Narayanpur","26.567633","93.7799","288"
86,"Golaghat", "Morongi Development Block", "Morongi Dev. Block, Po- Bongaon, Golaghat","785618","Morongi Market","26.533272","93.93909","288"
87,"Golaghat", "Bokakhat Development Block", "Bokakhat Dev. Block","785612","Near Bokakhat Girls School","26.636134","93.629612","288"
88,"Golaghat", "Dergaon Rev. Circle", "Office Of The Circle Officer, Dergaon Revenue Circle, Golaghat, Assam","785703","Near Dergaon Police Station","26.699535","93.979664","288"
89,"Golaghat", "Bokakhat Revenue Circle", "Bokakhat Revenue Circle, Po & Ps - Bokakhat","785612","Near Bokakhat Fire Station","26.641792","93.598697","288"
90,"Golaghat", "Sarupathar Rev Circle", "Sarupathar Revenue Circle, Po&Ps-Sarupathar, Golaghat","785601","Sarupathar Court Campus","26.208783","93.863287","288"
91,"Golaghat", "SDAO Sarupathar", "Sub Divisional Agriculture Office, Golaghat","785601","Sarupathar Court Campus","26.208783","93.863287","288"
92,"Golaghat", "Gomariguri Dev. Block, Gomari (Revised)", "Gomariguri Development Block, Gomariguri","785705","Near Adarsha Gp","26.37838","94.0571912","288"
93,"Golaghat", "Borpothar Municipality Board", "Barpathar Municipality Office, Barpathar","785602","Near Barpathar College","26.277754","93.892924","288"
94,"Golaghat", "Khumtai GP", "Khumtai Gaon Panchayat Office, Khumtai","785619","Khumtai Higher Secondary School","26.610696","93.839179","288"
95,"Golaghat", "Morongi Development Block", "Morongi Development Block, Doigrung, Purabangla","785702","Near Morongi Revenue Circle Office","26.554012","93.830242","288"
96,"Hailakandi", "SIPRD Boalipar", "P.O: Boalipar Bazar, Dist: Hailakandi, Assam","788155","Siprd Hailakandi Extension Centre","24.468718","92.58165","289"
97,"Hailakandi", "Lala Block Office", "Lala Block Office, Monacharra GP, Hailakandi, Assam","788168","Lala Dev Block Office","24.597017","92.562547","289"
98,"Hailakandi", "Katlicherra Block Office", "Katlicherra Block Office, Katlicherra, Hailakandi, Assam","788161","Katlicherra Dev Block Office","24.474101","92.553099","289"
99,"Hailakandi", "S. Hailakandi Dev Block", "South Hailakandi Development Block, Alychara, Part: V, Hailkandi, Assam","788165","S. Hailakandi Dev Block Office","24.38795","92.556675","289"
100,"Hailakandi", "Hailakandi Circle Office", "DC Office, P.O & Dist: Hailakandi, Assam","788151","Hailakandi DC & Circle","24.681384","92.563467","289"
101,"Hailakandi", "Algapur Dev Block", "P.O: Kalibari Bazar, Dist: Hailakandi, Assam",788150,"Algapur Dev Block & Circle Office","24.754802","92.593941","289"
102,"Hojai", Lanka Municipal Board, "Shillong Road, Near Bijoya Ghat, Lanka, Hojai",782446,"Near Bijoya Ghat","25.9175","92.9515","709"
103,"Hojai", Doboka Municipal Board, "Doboka Municipality Board, Doboka Town.",782440,,"26.1136","92.8669","709"
104,"Hojai", "Lumding Development Block", "Lanka, Bamungaon",782446,,"25.9059","92.9864","709"
